event_id,event_title,pokemon,shiny,section,availability,day,habitat,form_hint,costume_hint,source_text
fall_marathon_buddy_trek,Fall Marathon: Buddy Trek,Bramblin,False,Event,Event,,,,Bramblin makes its Pokemon GO debut during Fall Marathon: Buddy Trek! Explore up to 42 km to earn Ma,"Bramblin makes its Pokemon GO debut during Fall Marathon: Buddy Trek! Explore up to 42 km to earn Marathon Visor Pikachu, enjoy increased chances of encountering Shiny Electrike and Shiny Hisuian Growlithe, and unlock new GO Pass rewards. The event runs from Tuesday, October 13, at 10:00 a.m. to Monday, October 19, 2026, at 8:00 p.m. local time ."
fall_marathon_buddy_trek,Fall Marathon: Buddy Trek,Bramblin,True,Event,Event,,,,Bramblin makes its Pokemon GO debut during Fall Marathon: Buddy Trek! Explore up to 42 km to earn Ma,"Bramblin makes its Pokemon GO debut during Fall Marathon: Buddy Trek! Explore up to 42 km to earn Marathon Visor Pikachu, enjoy increased chances of encountering Shiny Electrike and Shiny Hisuian Growlithe, and unlock new GO Pass rewards. The event runs from Tuesday, October 13, at 10:00 a.m. to Monday, October 19, 2026, at 8:00 p.m. local time ."
fall_marathon_buddy_trek,Fall Marathon: Buddy Trek,Bramblin,False,Event,Event,,,,,"Bramblin, the Tumbleweed Pokemon, will make its Pokemon GO debut!"
fall_marathon_buddy_trek,Fall Marathon: Buddy Trek,Bramblin,False,Field Research,Research,,,,,"You may encounter Bramblin through GO Pass tasks, Incense, and event-themed Field Research."
fall_marathon_buddy_trek,Fall Marathon: Buddy Trek,Bramblin,False,Incense,Incense,,,,,Bramblin
wild_area_wild_area_pokemon_go_wild_area_2026_global,Wild Area Wild Area Pokémon GO Wild Area 2026: Global,Unown,False,Incense,Incense,Sunday,Rotating Habitat Hours,,,Ticket holders can also attract the following Unown on both days.
wild_area_wild_area_pokemon_go_wild_area_2026_global,Wild Area Wild Area Pokémon GO Wild Area 2026: Global,Unown,False,Incense,Incense,Sunday,Rotating Habitat Hours,,,Unown D
wild_area_wild_area_pokemon_go_wild_area_2026_global,Wild Area Wild Area Pokémon GO Wild Area 2026: Global,Unown,True,Incense,Incense,Sunday,Rotating Habitat Hours,,,Unown D
